Symbol	Name	Comment	Position	Elevation	Date Modified	Date Created	Link	Temperature	Proximity	Display Type	Categories
	"133"	"28-AUG-21 15:31:56"	"N61° 13.966' W45° 29.742'"	"22 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"134"	"28-AUG-21 15:33:45"	"N61° 13.970' W45° 29.740'"	"22 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"135"	"28-AUG-21 15:34:15"	"N61° 13.969' W45° 29.744'"	"20 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"136"	"28-AUG-21 15:34:38"	"N61° 13.967' W45° 29.740'"	"20 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"137"	"28-AUG-21 15:37:04"	"N61° 13.972' W45° 29.743'"	"22 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"138"	"28-AUG-21 15:38:17"	"N61° 13.968' W45° 29.748'"	"25 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"139"	"28-AUG-21 15:39:31"	"N61° 13.970' W45° 29.753'"	"27 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"140"	"28-AUG-21 15:43:38"	"N61° 13.971' W45° 29.751'"	"23 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"141"	"28-AUG-21 15:44:59"	"N61° 13.972' W45° 29.758'"	"27 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"142"	"28-AUG-21 15:46:03"	"N61° 13.971' W45° 29.758'"	"24 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"143"	"28-AUG-21 15:50:40"	"N61° 13.972' W45° 29.756'"	"26 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"144"	"28-AUG-21 15:50:51"	"N61° 13.971' W45° 29.758'"	"26 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
