GPS ID	notes	date	Position	Elevation	tree type	source	age estimate	height	other notes	photo
148	C	29-Aug-21 13:04:12	N61° 14.088' W45° 29.814'	-22 ft	sibirca			26		
149	C	29-Aug-21 13:07:18	N61° 14.090' W45° 29.811'	4 ft	sibirca			24		
150	C	29-Aug-21 13:10:21	N61° 14.090' W45° 29.808'	19 ft	sibirca			21		
151	C, 3 m up sliope from native birch	29-Aug-21 13:12:42	N61° 14.093' W45° 29.807'	16 ft	sibirca			24		
152	C	29-Aug-21 13:22:01	N61° 14.093' W45° 29.808'	30 ft	sibirca			26		
153	C	29-Aug-21 13:22:33	N61° 14.092' W45° 29.810'	27 ft	sibirca			22		
154	C	29-Aug-21 13:23:20	N61° 14.094' W45° 29.803'	37 ft	contorta			6		
155	C	29-Aug-21 13:24:14	N61° 14.094' W45° 29.798'	37 ft	sibirca			11		
156	C	29-Aug-21 13:24:46	N61° 14.094' W45° 29.800'	37 ft	sitka or engelmanni			6		
157	C	29-Aug-21 13:25:54	N61° 14.094' W45° 29.802'	39 ft	sibirca			7		
158	C	29-Aug-21 13:27:06	N61° 14.093' W45° 29.805'	32 ft	sibirca			18		
159	C	29-Aug-21 13:32:15	N61° 14.095' W45° 29.805'	39 ft	sibirca			14		
160	C	29-Aug-21 13:33:25	N61° 14.092' W45° 29.803'	39 ft	contorta			10		
161	C	29-Aug-21 13:34:55	N61° 14.091' W45° 29.804'	38 ft	sibirca			23		
162	C	29-Aug-21 13:36:02	N61° 14.089' W45° 29.802'	39 ft	sibirca			19		
163	C	29-Aug-21 13:37:49	N61° 14.093' W45° 29.803'	38 ft	sitka or engelmanni			15		
164	C	29-Aug-21 13:38:20	N61° 14.094' W45° 29.806'	37 ft	contorta			10		
165	C	29-Aug-21 13:40:38	N61° 14.094' W45° 29.801'	48 ft	sibirca			15		
166	C	29-Aug-21 13:41:18	N61° 14.095' W45° 29.810'	44 ft	sibirca			11		
167	C	29-Aug-21 13:44:45	N61° 14.096' W45° 29.808'	37 ft	sibirca			22		
168	C	29-Aug-21 13:47:38	N61° 14.094' W45° 29.805'	35 ft	contorta			5		
169	C	29-Aug-21 13:48:36	N61° 14.097' W45° 29.807'	40 ft	contorta			6		
170	C	29-Aug-21 13:53:16	N61° 14.095' W45° 29.804'	41 ft	sibirca			6		
171	C	29-Aug-21 13:56:39	N61° 14.097' W45° 29.804'	43 ft	contorta			8		
172	C	29-Aug-21 13:57:23	N61° 14.097' W45° 29.809'	39 ft	sibirca			6		
173	C	29-Aug-21 14:11:23	N61° 14.099' W45° 29.805'	41 ft	sibirca			8		
174	C	29-Aug-21 14:11:28	N61° 14.099' W45° 29.805'	42 ft	sibirca			8		
none	C	none		non	sibirca			8		
none	D	25-Aug-21 18:00:00								
none	D	25-Aug-21 18:00:00								
none	D	25-Aug-21 18:00:00								
none	D	25-Aug-21 18:00:00								
none	D	25-Aug-21 18:00:00								
